"Data Source","World Development Indicators",

"Last Updated Date","2024-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Belgium","BEL","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17207700000","16784800000","15958000000","15917900000","15382400000","15756300000","15751900000","14553900000","13628600000","12902800000","12355600000","12285100000","12352600000","12485000000","11794100000","11525100000","11946800000","12309800000","11728200000","11747700000","10876800000","10347200000","9324800000","8649600000","8294300000","7872600000","7296100000","6939100000","",
"Benin","BEN","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","146000000","356000000","366000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16671046796","16785510278.7","19127173615","18169721978","17348165834","13054658756.3","12693275000","16870967228","21354239663","28291579336","41805614512","34755278004","44011188207","43752144897","65300000000","69515113978","97240452243.0826","114498591561.875","139938004265.995","192548755145.475","221932143407.385","",
"Bangladesh","BGD","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41456340000","49216850000","56159770000","56864210000","67575155000","83735932000","103516769000","135769443000","151532016000","148159011000","155878100000","202938400000","241641100000","280034000000","309742900000","330580000000","353261200000","418126000000","500903390000","583100000000","706173496487.88","","",
"Bulgaria","BGR","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2386000","8761000","13880000","29172000","76411000","123927000","342294000","1233056000","953657000","888490000","1134497000","1283298000","742723000","795705000","758402000","726713000","687118000","702533000","597742000","514797000","501020000","549969000","630835000","601829000","695274000","795734000","810434000","799027000","693340000","637119000","603028000","639663000","616911000","",
"Bahrain","BHR","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17800000","8400000","12500000","15900000","17200000","20500000","19900000","21500000","24100000","30400000","47300000","51600000","35900000","49400000","45900000","62130000","73670000","65900000","53610000","50050000","90560000","114507947.1","150352801.78","192262000","227350000","269460000","361958391.35","479218129.75","618600301.17","644223505","665156657.31","","","",
"Bahamas, The","BHS","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61800000","72900000","71200000","77100000","79100000","81200000","87400000","93981000","99073000","95600000","92200000","100700000","98300000","107000000","113941000","121247000","116574000","127166000","143124000","154223000","186521259.88","201714464.55","191359891.92","205003036.31","213857419.74","241500308.1","274994909.71","267755486.92","313869000","328480000","344665831","422500026","551772446","",
"Bosnia and Herzegovina","BIH","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93521744.79","104465269.619999","104669492.57","114508956.89","112561480.43","108153529.898086","143771982.7","181053249.2","179476393.5","214366922.96066","239610820.887586","231345764.34","209090214.94359","224774181.949704","220450104.621365","236584097.269956","218784109.767334","242539262.920194","371206761.246861",
"Belarus","BLR","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","770","3920","28930","122680","237370","508680","1932510","7532000","12188000","14228000","18395420","23393400","22600100","26706300","34388100","69320000","100266000","90708552.83176","256220000","600890000","543931000","725194900","1348508104.37","1728984567","1876350351","2145651809.8","2163204683.3","2323990034.9","2435163900","1766982175.9","3346695011.88",
"Belize","BLZ","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11022000","10826000","12752000","17876000","22550000","25716000","28322000","24408000","24597000","30205000","41577000","53634000","63916000","81336000","175868000","153740000","170217000","111188000","102344000","95790000","103376000","102342000","57082989.36","83722485.8","90483516.88","84995823.27","86669301.58","104665512","","","","","","",
"Bermuda","BMU","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
